ticket_id,company_type,created_at,department,employee_role,channel,ticket_text,category,subcategory,true_category,true_subcategory,label_quality,priority,status,sentiment,resolution_hours
ENT-006357,Global Technology Consulting Company,2025-01-22 18:46,Engineering,Director,Email,The machine is very slow and makes it hard to complete normal tasks.,Hardware,Battery,Hardware,Battery,clean_label,Medium,Open,Confused,
ENT-014822,Global Technology Consulting Company,2025-06-23 21:06,Marketing,Specialist,Chat,This started happening after yest afternoon. I need help with onboarding/offboarding paperwork for a team member.,HR Support,Payroll,HR Support,Payroll,clean_label,Low,Open,Frustrated,
ENT-010711,Global Technology Consulting Company,2025-05-21 23:10,Executive Office,Senior Associate,Phone,My payroll or benefits information does not look right this cycle.,HR Support,Timesheet,HR Support,Timesheet,clean_label,High,In Progress,Neutral,
ENT-011203,Global Technology Consulting Company,2025-02-19 13:31,Marketing,Director,Portal,The error message is not very clear. I need help with onboarding/offboarding paperwork for a team member. screenshot attached,HR Support,Offboarding,HR Support,Offboarding,clean_label,Medium,Waiting on User,Neutral,
ENT-003125,Global Technology Consulting Company,2025-12-06 05:47,Engineering,Specialist,Walk-up,the error message is not very clear. my desktop is not working properly. the req is urgent but i do not know the right form pls advise,Hardware,Desktop,Hardware,Desktop,clean_label,Medium,Resolved,Urgent,87.9
ENT-025235,Global Technology Consulting Company,2025-03-01 09:57,Legal,Intern,Portal,Our team needs a new workspace or project area created.,Internal Project,SharePoint Site,Internal Project,SharePoint Site,clean_label,Medium,Resolved,Neutral,83.1
ENT-010829,Global Technology Consulting Company,2025-07-13 09:05,Legal,Specialist,Portal,I have a question about my employee record and need help updating it.,HR Support,Payroll,HR Support,Payroll,clean_label,Medium,Closed,Urgent,16.9
ENT-024006,Global Technology Consulting Company,2025-09-22 23:59,Consulting,Manager,Phone,Not sure if this belongs to IT or another team. I need help connecting a report or internal app to the team process.,Internal Project,Team Workspace,Internal Project,Team Workspace,clean_label,Medium,In Progress,Neutral,
ENT-018306,Global Technology Consulting Company,2025-06-05 04:42,Sales,Team Lead,Portal,Not sure if this belongs to IT or another team. A teammate can open the location but I get a blocked message.,Access,Active Directory,Access,Active Directory,clean_label,High,In Progress,Frustrated,
ENT-004861,Global Technology Consulting Company,2025-10-13 11:56,HR,Coordinator,Chat,The screen or attached equipment randomly stops responding.,Hardware,Docking Station,Hardware,Docking Station,clean_label,Medium,Resolved,Neutral,38.4
ENT-014916,Global Technology Consulting Company,2025-12-19 14:04,HR,Manager,Portal,I need help with onboarding/offboarding paperwork for a team member.,HR Support,Offboarding,HR Support,Offboarding,clean_label,Medium,Resolved,Frustrated,88.1
ENT-018573,Global Technology Consulting Company,2025-10-26 04:20,Finance,Engineer,Chat,"the error message is not very clear. the login works in one place but fails in another. also, an application keeps crashing or freezing during normal use.",Access,Salesforce Access,Access,Salesforce Access,clean_label,High,Closed,Neutral,28.7
ENT-019647,Global Technology Consulting Company,2025-11-13 13:13,Consulting,Director,Email,The backup or sync process is not completing.,Storage,OneDrive Full,Storage,OneDrive Full,clean_label,Medium,Resolved,Neutral,30.5
ENT-008066,Global Technology Consulting Company,2025-09-26 13:00,Engineering,Manager,Chat,The machine is very slow and makes it hard to complete normal tasks.,Hardware,Battery,Hardware,Battery,clean_label,Medium,In Progress,Neutral,
ENT-023244,Global Technology Consulting Company,2025-06-03 14:15,Marketing,Manager,Portal,can you help me order the correct item for my role? pls advise,Purchase,Purchase Approval,Purchase,Purchase Approval,clean_label,Low,In Progress,Neutral,
ENT-006669,Global Technology Consulting Company,2025-04-28 23:22,Engineering,Team Lead,Chat,could you please help when possible? the machine is very slow and makes it hard to complete normal tasks.,Hardware,Webcam,Hardware,Webcam,clean_label,Medium,Resolved,Confused,13.2
ENT-009974,Global Technology Consulting Company,2025-12-25 19:02,Consulting,Coordinator,Chat,I am blocked right now and not sure what changed. My payroll or benefits information does not look right this cycle. pls advise,HR Support,Timesheet,HR Support,Timesheet,clean_label,Medium,Waiting on User,Neutral,
ENT-004191,Global Technology Consulting Company,2025-01-09 08:54,Executive Office,Senior Associate,Walk-up,I need help before my next meting. My battery is not working properly. I am getting blocked by permissions,Hardware,Battery,Hardware,Battery,clean_label,Low,In Progress,Frustrated,
ENT-003417,Global Technology Consulting Company,2025-09-04 04:33,Finance,Team Lead,Email,"I am blocked right now and not sure what changed. The screen or attached equipment randomly stops responding. Also, a folder disappeared and i need to know if it can be restored.",Hardware,Headset,Hardware,Headset,clean_label,Critical,Closed,Confused,3.3
ENT-002873,Global Technology Consulting Company,2025-11-26 10:52,Engineering,Manager,Phone,I am blocked right now and not sure what changed. The machine is very slow and makes it hard to complete normal tasks. screenshot attached,Hardware,Monitor,Hardware,Monitor,clean_label,Medium,Resolved,Urgent,28.5
ENT-001023,Global Technology Consulting Company,2025-03-18 11:16,Operations,Manager,Phone,The device keeps disconnecting during calls and client work.,Hardware,Keyboard/Mouse,Hardware,Keyboard/Mouse,clean_label,Medium,Waiting on Vendor,Neutral,
ENT-012298,Global Technology Consulting Company,2025-09-23 05:32,Marketing,Manager,Phone,I tried the usual steps but it still does not work. I have a question about my employee record and need help updating it.,HR Support,Leave Request,HR Support,Leave Request,clean_label,Medium,In Progress,Frustrated,
ENT-025323,Global Technology Consulting Company,2025-05-05 11:08,Legal,Specialist,Phone,Our team needs a new workspace or project area created. pls advise,Internal Project,Project Permission,Internal Project,Project Permission,clean_label,Medium,Resolved,Neutral,27.1
ENT-006064,Global Technology Consulting Company,2025-11-06 18:16,Executive Office,Director,Portal,I am seeing this issue again today The screen or attached equipment randomly stops responding,Hardware,Monitor,Hardware,Monitor,clean_label,Low,Open,Confused,
ENT-008048,Global Technology Consulting Company,2025-06-17 22:06,Engineering,Manager,Phone,"I need help before my next meting. The screen or attached equipment randomly stops responding. Also, i cannot sign in or reach the system i need for work. someone on my team has access but i do not",Hardware,Laptop,Hardware,Laptop,clean_label,Low,Resolved,Neutral,36.3
ENT-007330,Global Technology Consulting Company,2025-04-15 12:09,Consulting,Coordinator,Portal,my webcam is not working properly i cannot get into the thing i need,Hardware,Webcam,Hardware,Webcam,clean_label,Medium,Closed,Frustrated,68.4
ENT-012041,Global Technology Consulting Company,2025-05-03 11:41,Customer Support,Analyst,Walk-up,"My payroll or benefits information does not look right this cycle. Also, the application is installed but does not launch correctly.",HR Support,Benefits,HR Support,Benefits,clean_label,High,Closed,Neutral,7.9
ENT-027858,Global Technology Consulting Company,2025-10-26 12:13,Customer Support,Team Lead,Chat,I am blocked right now and not sure what changed. The tool opens but some features are missing or disabled.,Software,Office Apps,Software,Office Apps,clean_label,Medium,Resolved,Confused,63.1
ENT-028297,Global Technology Consulting Company,2025-07-25 12:36,Operations,Coordinator,Email,Could you please help when possible? I get an error when trying to export or submit work.,Software,Teams,Software,Teams,clean_label,Medium,Resolved,Neutral,45.2
ENT-002278,Global Technology Consulting Company,2025-02-18 16:01,Legal,Analyst,Chat,This started happening after yesterday afternoon. The machine is very slow and makes it hard to complete normal tasks.,Hardware,Monitor,Hardware,Monitor,clean_label,High,In Progress,Confused,
ENT-012289,Global Technology Consulting Company,2025-03-20 23:09,Sales,Team Lead,Email,I need help with onboarding/offboarding paperwork for a team member. pls advise,HR Support,Timesheet,HR Support,Timesheet,clean_label,High,Closed,Frustrated,12.4
ENT-023287,Global Technology Consulting Company,2025-02-15 15:25,Sales,Intern,Phone,a vendor quote or license request needs review.,Purchase,Laptop Request,Purchase,Laptop Request,clean_label,Medium,Closed,Neutral,82.1
ENT-004992,Global Technology Consulting Company,2025-01-02 09:46,Finance,Consultant,Chat,I need help before my next meeting. The device keeps disconnecting during calls and client work.,Hardware,Webcam,Hardware,Webcam,clean_label,Medium,Resolved,Neutral,46.1
ENT-019744,Global Technology Consulting Company,2025-07-31 04:19,Legal,Engineer,Portal,I am blocked right now and not sure what changed. The shared location looks full or unavailable.,Storage,Quota Increase,Storage,Quota Increase,clean_label,Medium,Resolved,Frustrated,30.3
ENT-017339,Global Technology Consulting Company,2025-09-04 06:21,Marketing,Consultant,Portal,The login works in one place but fails in another.,Access,Salesforce Access,Access,Salesforce Access,clean_label,Low,In Progress,Urgent,
ENT-003811,Global Technology Consulting Company,2025-03-03 00:04,Executive Office,Team Lead,Walk-up,I am seeing this issue again today. My headset is not working properly. the page just spins,Hardware,Headset,Hardware,Headset,clean_label,Medium,Open,Frustrated,
ENT-020731,Global Technology Consulting Company,2025-12-11 14:49,Marketing,Director,Chat,I am seeing this issue again today The backup or sync process is not completing,Storage,Archive Request,Storage,Archive Request,clean_label,Medium,Resolved,Confused,82.2
ENT-027902,Global Technology Consulting Company,2025-07-30 12:24,Marketing,Senior Associate,Phone,An application keeps crashing or freezing during normal use.,Software,CRM,Software,CRM,clean_label,High,Resolved,Neutral,28.7
ENT-017554,Global Technology Consulting Company,2025-01-19 04:30,Legal,Intern,Walk-up,This started happening after yesterday afternoon I changed teams and now some tools are unavailable,Access,Password Reset,Access,Password Reset,clean_label,High,Closed,Frustrated,27.9
ENT-017839,Global Technology Consulting Company,2025-04-10 02:44,Consulting,Consultant,Walk-up,Not sure if this belongs to IT or another team. I need permission for a client workspace before the deadline.,Access,MFA Enrollment,Access,MFA Enrollment,clean_label,Medium,In Progress,Urgent,
ENT-006211,Global Technology Consulting Company,2025-07-23 11:14,Finance,Team Lead,Email,I tried the usual steps but it still does not work. My desktop is not working properly. the request is urgent but I do not know the right form,Hardware,Desktop,Hardware,Desktop,clean_label,Low,In Progress,Confused,
ENT-018674,Global Technology Consulting Company,2025-06-18 18:34,Consulting,Consultant,Walk-up,I cannot sign in or reach the system I need for work. my files are not where I expect them,Access,SAP Access,Access,SAP Access,clean_label,Medium,Closed,Frustrated,74.9
ENT-019785,Global Technology Consulting Company,2025-05-22 05:58,Sales,Analyst,Email,I need more room or cleanup help for project documents.,Storage,Archive Request,Storage,Archive Request,clean_label,Medium,Closed,Confused,71.1
ENT-019504,Global Technology Consulting Company,2025-09-28 02:40,Finance,Specialist,Email,The error message is not very clear. I need more room or cleanup help for project documents.,Internal Project,Team Workspace,Storage,OneDrive Full,noisy_label,High,Resolved,Urgent,4.5
ENT-000984,Global Technology Consulting Company,2025-12-12 03:02,Operations,Senior Associate,Portal,Can someone check this for me? The machine is very slow and makes it hard to complete normal tasks. screenshot attached,Hardware,Laptop,Hardware,Laptop,clean_label,High,Closed,Urgent,33.0
ENT-022504,Global Technology Consulting Company,2025-05-27 11:42,Customer Support,Director,Portal,A vendor quote or license request needs review.,Purchase,Software License,Purchase,Software License,clean_label,Medium,In Progress,Neutral,
ENT-006575,Global Technology Consulting Company,2025-09-15 13:57,Legal,Engineer,Email,This is affecting my work for a client deliverable. The device keeps disconnecting during calls and client work.,Hardware,Keyboard/Mouse,Hardware,Keyboard/Mouse,clean_label,Low,Resolved,Frustrated,60.3
ENT-019684,Global Technology Consulting Company,2025-06-01 07:51,Consulting,Consultant,Walk-up,This is affecting my work for a client deliverable. The backup or sync process is not completing.,Storage,Backup Request,Storage,Backup Request,clean_label,Medium,Resolved,Frustrated,83.1
ENT-013669,Global Technology Consulting Company,2025-08-20 08:46,Consulting,Director,Portal,"I am seeing this issue again today. The time, leave, or policy information in the portal looks incorrect. screenshot attached",HR Support,Employee Verification,HR Support,Employee Verification,clean_label,High,Resolved,Neutral,34.6
ENT-028614,Global Technology Consulting Company,2025-04-18 15:21,HR,Analyst,Portal,I get an error when trying to export or submit work.,Access,Active Directory,Software,IDE,noisy_label,High,Waiting on User,Confused,
ENT-016195,Global Technology Consulting Company,2025-07-23 17:48,Delivery,Team Lead,Email,"I need help before my next meeting. The login works in one place but fails in another. Also, the backup or sync process is not completing. pls advise",Access,Password Reset,Access,Password Reset,clean_label,High,Waiting on User,Frustrated,
ENT-001109,Global Technology Consulting Company,2025-10-29 04:46,Delivery,Engineer,Walk-up,Can someone check this for me? My laptop is not working properly it keeps asking me again and again,Hardware,Laptop,Hardware,Laptop,clean_label,Medium,In Progress,Urgent,
ENT-018710,Global Technology Consulting Company,2025-02-01 04:44,Engineering,Senior Associate,Phone,I cannot sign in or reach the system I need for work. I am getting blocked by permissions,Access,MFA Enrollment,Access,MFA Enrollment,clean_label,High,Open,Frustrated,
ENT-025554,Global Technology Consulting Company,2025-04-16 13:40,Consulting,Director,Phone,Can someone check this for me? Our team needs a new workspace or project area created.,Internal Project,Internal App Support,Internal Project,Internal App Support,clean_label,Medium,Closed,Neutral,72.2
ENT-007678,Global Technology Consulting Company,2025-01-05 23:31,HR,Director,Chat,This started happening after yesterday afternoon. The machine is very slow and makes it hard to complete normal tasks. pls advise,Hardware,Laptop,Hardware,Laptop,clean_label,Medium,Resolved,Frustrated,18.7
ENT-027250,Global Technology Consulting Company,2025-08-26 23:28,Marketing,Team Lead,Walk-up,Can someone check this for me? I need the same local permission I had on my previous device.,Administrative Rights,Temporary Admin,Administrative Rights,Temporary Admin,clean_label,Medium,In Progress,Neutral,
ENT-019433,Global Technology Consulting Company,2025-09-28 07:54,Finance,Senior Associate,Portal,"Could you please help when possible? I need perm for a client workspace before the deadline. Also, the network works in one location but not another.",Access,MFA Enrollment,Access,MFA Enrollment,clean_label,Medium,Closed,Neutral,50.3
ENT-003604,Global Technology Consulting Company,2025-05-01 14:21,Executive Office,Specialist,Phone,could you please help when possible? the machine is very slow and makes it hard to complete normal tasks,Hardware,Docking Station,Hardware,Docking Station,clean_label,Medium,Resolved,Neutral,85.5
ENT-004116,Global Technology Consulting Company,2025-08-05 11:09,Operations,Specialist,Phone,I need help before my next meeting. The device keeps disconnecting during calls and client work. pls advise,Hardware,Desktop,Hardware,Desktop,clean_label,Medium,Resolved,Urgent,25.2
ENT-017487,Global Technology Consulting Company,2025-12-08 22:51,Engineering,Intern,Portal,I cannot sign in or reach the system I need for work. my files are not where I expect them,Access,Salesforce Access,Access,Salesforce Access,clean_label,Medium,In Progress,Urgent,
ENT-009213,Global Technology Consulting Company,2025-10-08 17:34,Marketing,Senior Associate,Portal,I need help with onboarding/offboarding paperwork for a team member.,HR Support,Leave Request,HR Support,Leave Request,clean_label,Medium,Resolved,Frustrated,48.3
ENT-018331,Global Technology Consulting Company,2025-04-21 14:55,Legal,Specialist,Email,this is affecting my work for a client deliverable. the login works in one place but fails in another.,Access,SAP Access,Access,SAP Access,clean_label,Critical,Closed,Neutral,11.5
ENT-021713,Global Technology Consulting Company,2025-02-01 04:44,Operations,Consultant,Email,This started happening after yesterday afternoon. I need more room or cleanup help for project documents.,Storage,Quota Increase,Storage,Quota Increase,clean_label,Medium,In Progress,Neutral,
ENT-003007,Global Technology Consulting Company,2025-02-06 04:42,Customer Support,Coordinator,Walk-up,My battery is not working properly. someone on my team has access but I do not screenshot attached,Hardware,Battery,Hardware,Battery,clean_label,High,Closed,Neutral,25.1
ENT-002100,Global Technology Consulting Company,2025-03-10 08:12,Customer Support,Senior Associate,Chat,The machine is very slow and makes it hard to complete normal tasks.,Hardware,Webcam,Hardware,Webcam,clean_label,Low,Resolved,Neutral,41.2
ENT-011415,Global Technology Consulting Company,2025-08-04 18:00,Operations,Consultant,Chat,I need help with onboarding/offboarding paperwork for a team member. pls advise,HR Support,Payroll,HR Support,Payroll,clean_label,Medium,In Progress,Urgent,
ENT-023337,Global Technology Consulting Company,2025-07-10 14:29,Executive Office,Engineer,Chat,"i need to request equipment or software for upcoming work. also, the security prompt keeps failing even after i approve it.",Purchase,Equipment Procurement,Purchase,Equipment Procurement,clean_label,Medium,Resolved,Confused,88.7
ENT-025169,Global Technology Consulting Company,2025-09-26 16:10,HR,Consultant,Phone,I need help connecting a report or internal app to the team process. screenshot attached,Internal Project,SharePoint Site,Internal Project,SharePoint Site,clean_label,Medium,Closed,Neutral,18.3
ENT-027132,Global Technology Consulting Company,2025-01-14 17:55,Finance,Specialist,Portal,A setup step needs elevated access for a short time.,Software,Browser,Administrative Rights,Elevated Permission,noisy_label,High,Waiting on User,Neutral,
ENT-006254,Global Technology Consulting Company,2025-08-19 16:03,Executive Office,Director,Chat,This started happening after yesterday afternoon. The device keeps disconnecting during calls and client work.,Hardware,Battery,Hardware,Battery,clean_label,Medium,Open,Confused,
ENT-005255,Global Technology Consulting Company,2025-05-31 08:34,Marketing,Specialist,Portal,My laptop is not working properly. nothing opens when I click it,Hardware,Laptop,Hardware,Laptop,clean_label,Medium,Open,Frustrated,
ENT-018449,Global Technology Consulting Company,2025-07-28 14:34,Engineering,Coordinator,Portal,"Could you please help when possible? The login works in one place but fails in another. Also, i submitted something for hr but cannot see the status anywhere.",Access,MFA Enrollment,Access,MFA Enrollment,clean_label,Critical,Resolved,Frustrated,10.8
ENT-019276,Global Technology Consulting Company,2025-10-01 07:56,Customer Support,Analyst,Phone,The error message is not very clear. The login works in one place but fails in another.,Access,Active Directory,Access,Active Directory,clean_label,High,Closed,Frustrated,30.6
ENT-028857,Global Technology Consulting Company,2025-10-24 01:21,Marketing,Consultant,Email,Could you please help when possible? Internal pages load slowly or fail during meetings.,Access,Email Access,Network,WiFi,noisy_label,Medium,Waiting on User,Neutral,
ENT-006666,Global Technology Consulting Company,2025-01-26 19:57,Legal,Specialist,Chat,This is affecting my work for a client deliverable. My monitor is not working properly. nothing opens when I click it,Hardware,Monitor,Hardware,Monitor,clean_label,Medium,Open,Neutral,
ENT-008235,Global Technology Consulting Company,2025-02-13 09:42,Engineering,Analyst,Portal,My webcam is not working properly. someone on my team has access but I do not,Hardware,Webcam,Hardware,Webcam,clean_label,Medium,Waiting on User,Frustrated,
ENT-016724,Global Technology Consulting Company,2025-05-09 16:59,Engineering,Specialist,Chat,I need permission for a client workspace before the deadline.,Access,Salesforce Access,Access,Salesforce Access,clean_label,Low,Resolved,Frustrated,35.6
ENT-024518,Global Technology Consulting Company,2025-03-29 08:32,HR,Analyst,Email,This started happening after yesterday afternoon. I need help connecting a report or internal app to the team process.,Internal Project,Reporting Dashboard,Internal Project,Reporting Dashboard,clean_label,High,Open,Neutral,
ENT-024573,Global Technology Consulting Company,2025-08-14 00:57,Consulting,Analyst,Phone,"The project tracker is not visible to everyone who needs it. Also, the screen or attached equipment randomly stops responding.",Internal Project,SharePoint Site,Internal Project,SharePoint Site,clean_label,Low,Closed,Urgent,41.1
ENT-023829,Global Technology Consulting Company,2025-03-04 10:59,Delivery,Director,Chat,The request form does not show the item I need.,Purchase,Software License,Purchase,Software License,clean_label,Medium,Closed,Urgent,90.2
ENT-012319,Global Technology Consulting Company,2025-05-17 04:00,Engineering,Intern,Portal,I submitted something for HR but can not see the status anywhere. pls advise,HR Support,Timesheet,HR Support,Timesheet,clean_label,High,Open,Neutral,
ENT-016188,Global Technology Consulting Company,2025-02-27 10:41,Sales,Director,Walk-up,Could you please help when possible? I changed teams and now some tools are unavailable.,Access,SAP Access,Access,SAP Access,clean_label,Critical,Closed,Urgent,5.0
ENT-003353,Global Technology Consulting Company,2025-12-12 06:47,Customer Support,Coordinator,Walk-up,The screen or attached equipment randomly stops responding.,Hardware,Keyboard/Mouse,Hardware,Keyboard/Mouse,clean_label,High,Resolved,Urgent,34.4
ENT-019811,Global Technology Consulting Company,2025-05-15 05:58,Delivery,Director,Phone,"This is affecting my work for a client deliverable. The backup or sync process is not completing. Also, i need the same local permission i had on my previous device.",Storage,Backup Request,Storage,Backup Request,clean_label,Low,Closed,Neutral,110.9
ENT-002448,Global Technology Consulting Company,2025-07-20 12:34,Sales,Analyst,Email,"The machine is very slow and makes it hard to complete normal tasks. Also, internal pages load slowly or fail during meetings.",Hardware,Keyboard/Mouse,Hardware,Keyboard/Mouse,clean_label,Medium,Closed,Neutral,21.7
ENT-027100,Global Technology Consulting Company,2025-06-07 18:24,HR,Analyst,Phone,The error message is not very clear I need the same local permission I had on my previous device,Security,Account Compromise,Administrative Rights,Local Admin,noisy_label,Medium,In Progress,Neutral,
ENT-027695,Global Technology Consulting Company,2025-05-15 05:26,Executive Office,Manager,Chat,The tool opens but some features are missing or disabled.,Software,CRM,Software,CRM,clean_label,Medium,Waiting on Vendor,Frustrated,
ENT-007062,Global Technology Consulting Company,2025-02-22 02:38,Delivery,Coordinator,Chat,This started happening after yesterday afternoon. The device keeps disconnecting during calls and client work.,Software,Browser,Hardware,Monitor,noisy_label,Low,In Progress,Neutral,
ENT-028880,Global Technology Consulting Company,2025-06-04 07:05,Executive Office,Intern,Email,"The network works in one location but not another. Also, the application is installed but does not launch correctly.",Network,DNS,Network,DNS,clean_label,High,Resolved,Frustrated,31.2
ENT-006353,Global Technology Consulting Company,2025-10-17 11:37,Engineering,Analyst,Phone,The screen or attached equipment randomly stops responding.,Hardware,Docking Station,Hardware,Docking Station,clean_label,High,In Progress,Frustrated,
ENT-000921,Global Technology Consulting Company,2025-05-20 15:03,Finance,Consultant,Email,"My desktop is not working properly. the page just spins Also, a folder disappeared and i need to know if it can be restored.",Hardware,Desktop,Hardware,Desktop,clean_label,Medium,In Progress,Neutral,
ENT-028619,Global Technology Consulting Company,2025-05-12 01:18,Consulting,Senior Associate,Phone,The application is installed but does not launch correctly.,Software,Adobe,Software,Adobe,clean_label,High,Open,Neutral,
ENT-009780,Global Technology Consulting Company,2025-02-23 08:40,Engineering,Director,Email,I submitted something for HR but cannot see the status anywhere.,HR Support,Payroll,HR Support,Payroll,clean_label,High,Resolved,Neutral,21.4
ENT-004127,Global Technology Consulting Company,2025-06-16 15:14,Delivery,Engineer,Email,"This started happening after yesterday afternoon. I can use the system, but the physical setup is unreliable.",Hardware,Laptop,Hardware,Laptop,clean_label,Medium,Closed,Neutral,55.9
ENT-019551,Global Technology Consulting Company,2025-10-25 11:47,Executive Office,Senior Associate,Chat,A folder disappeared and I need to know if it can be restored,Storage,Shared Drive Cleanup,Storage,Shared Drive Cleanup,clean_label,High,Waiting on User,Neutral,
ENT-003911,Global Technology Consulting Company,2025-11-17 03:00,Finance,Senior Associate,Portal,"My docking station is not wrkng properly. my setup is not behaving normally Also, i need the same local permission i had on my previous device.",Hardware,Docking Station,Hardware,Docking Station,clean_label,High,Closed,Urgent,9.4
ENT-016012,Global Technology Consulting Company,2025-11-27 06:44,Customer Support,Analyst,Walk-up,The error message is not very clear. A teammate can open the location but I get a blocked message.,Access,Salesforce Access,Access,Salesforce Access,clean_label,Medium,Closed,Frustrated,77.0
ENT-023309,Global Technology Consulting Company,2025-05-31 08:24,Executive Office,Team Lead,Portal,I tried the usual steps but it still does not work. Can you help me order the correct item for my role?,Purchase,Vendor Quote,Purchase,Vendor Quote,clean_label,Medium,In Progress,Neutral,
ENT-000882,Global Technology Consulting Company,2025-12-24 20:41,Legal,Analyst,Walk-up,"My battery is not working properly. I need the same setup as my teammate Also, i may have clicked something suspicious and need guidance.",Hardware,Battery,Hardware,Battery,clean_label,Low,Closed,Confused,75.5
ENT-002132,Global Technology Consulting Company,2025-08-06 10:48,Finance,Team Lead,Chat,The screen or attached equipment randomly stops responding.,Hardware,Headset,Hardware,Headset,clean_label,Low,Closed,Neutral,156.0
ENT-008952,Global Technology Consulting Company,2025-10-25 02:00,Marketing,Team Lead,Portal,"I am blocked right now and not sure what changed. The time, leave, or policy information in the portal looks incorrect.",HR Support,Leave Request,HR Support,Leave Request,clean_label,Medium,Open,Frustrated,
ENT-007893,Global Technology Consulting Company,2025-06-29 12:54,Customer Support,Engineer,Portal,I need help before my next meeting. The machine is very slow and makes it hard to complete normal tasks.,Hardware,Keyboard/Mouse,Hardware,Keyboard/Mouse,clean_label,Medium,Resolved,Urgent,56.0
ENT-017482,Global Technology Consulting Company,2025-05-10 16:34,Executive Office,Manager,Walk-up,I cannot sign in or reach the system I need for work. the page just spins,Access,SAP Access,Access,SAP Access,clean_label,Low,Resolved,Urgent,53.0
ENT-009391,Global Technology Consulting Company,2025-03-02 14:58,Marketing,Coordinator,Portal,My payroll or benefits information does not look right this cycle.,HR Support,Offboarding,HR Support,Offboarding,clean_label,Low,Waiting on User,Neutral,
